Lake;Transect_ID;Date;Diver;Position;Sampling_ID;Latitude;Longitude;Cloud_cover;Start_time;Segment;LeGi_Health;LeGi_Infected;Cyp_Health;Cyp_Infected;MiDo_Health;MiDo_Infected;AmRu_Health;AmRu_Infected;PeFl_Health;PeFl_Infected;Silt;Sand;Rock;Metric_block;Macrophyte;Mean_depth;Trunk;Temperature;Conductivity;DO;Turbidity;pH;TOC;TN;TP
Coeur;COEU1;25/08/2022;Juliane;Littoral;COEU1_Littoral;45°58.278';74°00.493';60;11:26;40 - 50 m ;4;14;0;0;3;0;0;0;0;0;30;0;30;40;2;120;6;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Charles;Pelagic;COEU1_Pelagic;45°58.278';74°00.493';60;11:26;0 - 10 m ;0;4;0;0;2;5;0;0;0;0;90;0;5;5;3;250;20;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Charles;Pelagic;COEU1_Pelagic;45°58.278';74°00.493';60;11:26;10 - 20 m;0;1;0;0;5;5;0;0;0;0;80;0;10;10;0;290;15;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Charles;Pelagic;COEU1_Pelagic;45°58.278';74°00.493';60;11:26;20 - 30 m;0;2;0;0;11;2;0;0;0;0;60;0;40;0;5;310;10;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Charles;Pelagic;COEU1_Pelagic;45°58.278';74°00.493';60;11:26;30 - 40 m;0;1;0;0;2;2;0;0;0;0;50;0;50;0;5;300;5;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Charles;Pelagic;COEU1_Pelagic;45°58.278';74°00.493';60;11:26;40 - 50 m ;0;0;0;0;7;1;0;0;0;0;100;0;0;0;0;265;10;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU2;25/08/2022;Charles;Littoral;COEU2_Littoral;45°58.220';74°00.526';30;10:53;0 - 10 m ;0;7;0;0;0;0;0;0;0;0;90;0;8;2;25;60;2;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Charles;Littoral;COEU2_Littoral;45°58.220';74°00.526';30;10:53;10 - 20 m;0;29;0;0;0;1;0;0;3;3;85;0;10;5;45;60;0;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Charles;Littoral;COEU2_Littoral;45°58.220';74°00.526';30;10:53;20 - 30 m;0;12;0;0;0;0;0;0;3;4;60;0;20;20;2;65;2;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Charles;Littoral;COEU2_Littoral;45°58.220';74°00.526';30;10:53;30 - 40 m;0;0;0;0;1;0;0;0;0;0;10;0;60;30;1;30;0;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Charles;Littoral;COEU2_Littoral;45°58.220';74°00.526';30;10:53;40 - 50 m ;0;4;0;0;0;0;0;0;0;0;20;0;0;80;2;80;8;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Juliane;Pelagic;COEU2_Pelagic;45°58.220';74°00.526';30;10:53;0 - 10 m ;0;4;0;0;1;1;0;0;0;0;0;0;50;50;5;50;0;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Juliane;Pelagic;COEU2_Pelagic;45°58.220';74°00.526';30;10:53;10 - 20 m;3;6;0;0;0;0;0;0;5;0;50;0;20;30;5;90;0;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Juliane;Pelagic;COEU2_Pelagic;45°58.220';74°00.526';30;10:53;20 - 30 m;0;1;0;0;1;0;0;0;0;0;10;0;30;60;5;100;3;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Juliane;Pelagic;COEU2_Pelagic;45°58.220';74°00.526';30;10:53;30 - 40 m;1;0;0;0;3;0;0;0;0;0;20;0;30;50;40;40;1;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Juliane;Pelagic;COEU2_Pelagic;45°58.220';74°00.526';30;10:53;40 - 50 m ;1;3;0;0;5;0;0;0;0;0;20;0;70;10;90;50;0;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU3;25/08/2022;Juliane;Littoral;COEU3_Littoral;45°58.095';74°00.775';40;10:20;0 - 10 m ;2;3;0;0;3;2;0;0;2;0;15;0;50;35;50;25;2;23.0;53.4;8.26;0.2;7.13;5.600;331.67;7.3317
Coeur;COEU3;25/08/2022;Juliane;Littoral;COEU3_Littoral;45°58.095';74°00.775';40;10:20;10 - 20 m;4;18;0;0;1;1;0;0;1;0;10;0;30;60;15;30;1;23.0;53.4;8.26;0.2;7.13;5.600;331.67;7.3317
Coeur;COEU3;25/08/2022;Juliane;Littoral;COEU3_Littoral;45°58.095';74°00.775';40;10:20;20 - 30 m;2;12;0;0;1;1;0;0;0;0;40;0;30;30;10;20;1;23.0;53.4;8.26;0.2;7.13;5.600;331.67;7.3317
Coeur;COEU3;25/08/2022;Juliane;Littoral;COEU3_Littoral;45°58.095';74°00.775';40;10:20;30 - 40 m;0;2;0;0;1;0;0;0;0;0;30;0;20;50;10;40;1;23.0;53.4;8.26;0.2;7.13;5.600;331.67;7.3317
Coeur;COEU3;25/08/2022;Juliane;Littoral;COEU3_Littoral;45°58.095';74°00.775';40;10:20;40 - 50 m ;0;7;0;0;5;2;0;0;0;0;10;0;20;70;2;20;1;23.0;53.4;8.26;0.2;7.13;5.600;331.67;7.3317
Coeur;COEU3;25/08/2022;Charles;Pelagic;COEU3_Pelagic;45°58.095';74°00.775';40;10:20;0 - 10 m ;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;400;0;23.0;53.4;8.26;0.2;7.13;5.600;331.67;7.3317
Coeur;COEU3;25/08/2022;Charles;Pelagic;COEU3_Pelagic;45°58.095';74°00.775';40;10:20;10 - 20 m;0;0;0;0;1;0;0;0;0;0;30;0;0;70;0;60;1;23.0;53.4;8.26;0.2;7.13;5.600;331.67;7.3317
Coeur;COEU3;25/08/2022;Charles;Pelagic;COEU3_Pelagic;45°58.095';74°00.775';40;10:20;20 - 30 m;0;0;0;0;4;1;0;0;0;0;65;0;15;20;3;70;0;23.0;53.4;8.26;0.2;7.13;5.600;331.67;7.3317
